order_id,item_id,item_name,qtt,InsertTime
17061497,8157,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 4-6,1,2024-03-10 13:18:52.670
17061497,784,זוג ציציות מוכנות לילדים מידה 2,1,2024-03-10 13:18:52.670
17083347,5384,שישיית ירכוני נשים 50 דנייר אטום מלון - colanta,1,2024-03-10 13:18:52.670
17083347,784,זוג ציציות מוכנות לילדים מידה 2,1,2024-03-10 13:18:52.670
17083347,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17048116,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17085958,8135,שתי זוגות גרביון שחור 70 דנייר דיגום עדין  collanta מידה 9-10,1,2024-03-10 13:18:52.670
17058343,8087,זוג טייץ אטום שחור לנשים - מידה l,1,2024-03-10 13:18:52.670
17058343,7015,שמיניית לבנים צבעוניות ילדים מידה 2-4,1,2024-03-10 13:18:52.670
17082326,7314,שישיית גרביונים לנשים 50 דנייר אטום מלון - colanta - מידה XL,1,2024-03-10 13:18:52.670
17064520,7315,שישיית גרביונים לנשים 50 דנייר אטום מלון - colanta - מידה XXL,1,2024-03-10 13:18:52.670
17064520,759,שישיית גרביונים בצבע שחור 70 דנייר מידה 10-12,1,2024-03-10 13:18:52.670
17064520,8236,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 12,1,2024-03-10 13:18:52.670
17070120,7322,"מכנסי דריל (דגמ""ח) לילדים בגוונים כהים - מידה 8",1,2024-03-10 13:18:52.670
17075810,831,סיילין - תמיסה לשבת,1,2024-03-10 13:18:52.670
17075810,907,תמיסה לעדשות דיספו,1,2024-03-10 13:18:52.670
17044022,2045,שישיית גרביוני כותנה לבן חלק מידה 3-4,1,2024-03-10 13:18:52.670
17059242,759,שישיית גרביונים בצבע שחור 70 דנייר מידה 10-12,1,2024-03-10 13:18:52.670
17080810,7449,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 3-4,1,2024-03-10 13:18:52.670
17080810,8083,מטפחת מרובעת חלקה עם סיומת פרנזים - פודרה,1,2024-03-10 13:18:52.670
17080810,1922,לבנים צבעוניות ילדות שמינייה מידה 2-4,1,2024-03-10 13:18:52.670
17052464,8255,חפתים בקופסא דגם עגול זהב עם שחור,2,2024-03-10 13:18:52.670
17078965,8157,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 4-6,1,2024-03-10 13:18:52.670
17078965,1923,לבנים צבעוניות ילדות שמינייה מידה 4-6,1,2024-03-10 13:18:52.670
17078965,1924,לבנים צבעוניות ילדות שמינייה מידה 6-8,1,2024-03-10 13:18:52.670
17078965,1926,לבנים צבעוניות ילדות שמינייה מידה 10-12,1,2024-03-10 13:18:52.670
17051630,1927,לבנים צבעוניות ילדות שמינייה מידה 12-14,1,2024-03-10 13:18:52.670
17051630,8234,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 12,1,2024-03-10 13:18:52.670
17047734,2380,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה M,1,2024-03-10 13:18:52.670
17047734,5980,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 8-10,1,2024-03-10 13:18:52.670
